127.0.0.1 - - [27/Sep/2023:14:05:46 +0900] "GET / HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:30 +0900] "GET / HTTP/1.1" 200 2756
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:30 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:30 +0900] "GET /resources/images/asdf.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:31 +0900] "GET /favicon.ico HTTP/1.1" 404 183
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:34 +0900] "GET /board/list HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:34 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:34 +0900] "GET /resources/js/search.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:36 +0900] "GET /board/get?pageNum=1&amount=10&type&keyword&bno=9 HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:36 +0900] "GET /resources/js/rest.js HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:36 +0900] "GET /resources/js/comment.js HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:36 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:41 +0900] "GET /board/list HTTP/1.1" 200 6418
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:06:41 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:07 +0900] "GET /board/get?pageNum=1&amount=10&type&keyword&bno=9 HTTP/1.1" 200 5509
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:07 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:07 +0900] "GET /resources/js/rest.js HTTP/1.1" 200 915
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:07 +0900] "GET /resources/js/comment.js HTTP/1.1" 200 4774
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:10 +0900] "GET /security/login HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:10 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:16 +0900] "POST /security/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:16 +0900] "GET / HTTP/1.1" 200 2782
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:16 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:17 +0900] "GET /security/avatar/sm/haye HTTP/1.1" 200 1344
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:19 +0900] "GET /board/list HTTP/1.1" 200 6444
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:19 +0900] "GET /resources/css/main.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [27/Sep/2023:14:09:19 +0900] "GET /security/avatar/sm/haye HTTP/1.1" 200 1344
